name,address,categories,Block,matched_address,matched_name,licence_description
Flavor 180,1511 s state ,"Restaurants, Fast Food, Seafood, Burgers, METADATA",015xx s state,1511 S STATE ST 1ST,FLAVOR 180,Retail Food Establishment
The Scout,1301 s wabash ave ,"Nightlife, Bars, Sports Bars, Restaurants, American (Traditional), American (New), METADATA",013xx s wabash ave,1301 S WABASH AVE 1,THE SCOUT,Consumption on Premises - Incidental Activity
The Scout,1301 s wabash ave ,"Nightlife, Bars, Sports Bars, Restaurants, American (Traditional), American (New), METADATA",013xx s wabash ave,1301 S WABASH AVE 1,THE SCOUT,Retail Food Establishment
Petra Cafe,331 s franklin st ,"Restaurants, Middle Eastern, Greek, Mediterranean, METADATA",003xx s franklin st,331 S FRANKLIN ST,PETRA CAFE,Retail Food Establishment
Alonti Market Cafe,1 n franklin st ,"Restaurants, Sandwiches, METADATA",0000xx n franklin st,1 N FRANKLIN ST 1ST,ALONTI CAFE,Retail Food Establishment
Davino's Little Pompei,181 w madison st ,"Restaurants, Pizza, METADATA",001xx w madison st,181 W MADISON ST,Davino's Little Pompei II Inc.,Retail Food Establishment
The India Grill,1112 s wabash ave ,"Restaurants, Indian, Pakistani, METADATA",011xx s wabash ave,1112 S WABASH AVE,THE INDIA GRILL,Retail Food Establishment
Mediterranean Delight,201 n. clark st. ,"Restaurants, Middle Eastern, Greek, Mediterranean, METADATA",002xx n. clark st.,201 N CLARK ST 1,MEDITERANEAN GRILL,Retail Food Establishment
Mediterranean Delight,201 n. clark st. ,"Restaurants, Middle Eastern, Greek, Mediterranean, METADATA",002xx n. clark st.,201 N CLARK ST 1ST FLOOR 1ST,MEDITERRANEAN DELIGHT,Retail Food Establishment
Ponte Fresco,225 n michigan ave ,"Restaurants, Delis, Sandwiches, METADATA",002xx n michigan ave,225 N MICHIGAN AVE  C122,PONTE FRESCO,Retail Food Establishment
Quizno's Sub's,180 n stetson 180 n stetson ave ,"Restaurants, Sandwiches, METADATA",001xx n stetson 180 n stetson ave,180 N STETSON AVE,QUIZNOS,Retail Food Establishment
Quizno's Sub's,180 n stetson 180 n stetson ave ,"Restaurants, Sandwiches, METADATA",001xx n stetson 180 n stetson ave,180 N STETSON AVE,QUIZNOS CLASSIC SUB,Retail Food Establishment
Subway,211 w. adams st ,"Restaurants, Delis, METADATA",002xx w. adams st,211 W ADAMS ST 1ST,SUBWAY,Retail Food Establishment
Alonti Cafe,225 n michigan ave ,"Restaurants, Delis, METADATA",002xx n michigan ave,225 N MICHIGAN AVE  2,ALONTI CAFE,Retail Food Establishment
Russian Tea Time,77 e adams st ,"Food, Coffee & Tea, Restaurants, Russian, METADATA",000xx e adams st,77 E ADAMS ST,RUSSIAN TEA TIME,Caterer's Liquor License
Russian Tea Time,77 e adams st ,"Food, Coffee & Tea, Restaurants, Russian, METADATA",000xx e adams st,77 E ADAMS ST,RUSSIAN TEA TIME,Consumption on Premises - Incidental Activity
Russian Tea Time,77 e adams st ,"Food, Coffee & Tea, Restaurants, Russian, METADATA",000xx e adams st,77 E ADAMS ST,RUSSIAN TEA TIME,Retail Food Establishment
Marcello's Market & Deli,155 n wacker dr ,"Restaurants, Delis, METADATA",001xx n wacker dr,155 N WACKER DR MAIN 102,Marcello's Market & Deli,Retail Food Establishment
Med Kitchen,219 w washington st ,"Restaurants, Mediterranean, Greek, METADATA",002xx w washington st,219 W WASHINGTON ST 1,MED KITCHEN,Retail Food Establishment
G Skin and Beauty Institute,200 n michigan ave ,"Education, Specialty Schools, Cosmetology Schools, METADATA",002xx n michigan ave,200 N MICHIGAN AVE 3RD 302,G Skin & Beauty Institute,Limited Business License
Haifa Cafe,410 s clark st ,"Restaurants, Greek, Mediterranean, METADATA",004xx s clark st,410 S CLARK ST,HAIFA CAFE,Retail Food Establishment
Off the Tracks Grill,190 n wells st ,"Restaurants, Burgers, METADATA",001xx n wells st,190 N WELLS ST,OFF THE TRACKS GRILL,Retail Food Establishment
Off the Tracks Grill,190 n wells st ,"Restaurants, Burgers, METADATA",001xx n wells st,190 N WELLS ST 1 1,OFF THE TRACKS,Retail Food Establishment
Off the Tracks Grill,190 n wells st ,"Restaurants, Burgers, METADATA",001xx n wells st,190 N WELLS ST 1ST/ BSMT,OFF THE TRACKS GRILL,Retail Food Establishment
Einstein Bros Bagels,75 e lake st ,"Restaurants, Breakfast & Brunch, METADATA",000xx e lake st,75 E LAKE ST 1ST 101,EINSTEIN BROS. BAGELS,Retail Food Establishment
Subway,211 w adams st ,"Restaurants, Sandwiches, METADATA",002xx w adams st,211 W ADAMS ST 1ST,SUBWAY,Retail Food Establishment
The Chicago Firehouse Restaurant,1401 s michigan ave ,"Restaurants, Steakhouses, METADATA",014xx s michigan ave,1401 S MICHIGAN AVE  BSMT/,THE CHICAGO FIREHOUSE REST.,Consumption on Premises - Incidental Activity
The Chicago Firehouse Restaurant,1401 s michigan ave ,"Restaurants, Steakhouses, METADATA",014xx s michigan ave,1401 S MICHIGAN AVE  BSMT/,THE CHICAGO FIREHOUSE REST.,Outdoor Patio
The Chicago Firehouse Restaurant,1401 s michigan ave ,"Restaurants, Steakhouses, METADATA",014xx s michigan ave,1401 S MICHIGAN AVE  BSMT/,THE CHICAGO FIREHOUSE REST.,Retail Food Establishment
The Chicago Firehouse Restaurant,1401 s michigan ave ,"Restaurants, Steakhouses, METADATA",014xx s michigan ave,"1401 S MICHIGAN AVE BSMT, 1ST & 2ND",THE CHICAGO FIREHOUSE RESTAURANT,Consumption on Premises - Incidental Activity
The Chicago Firehouse Restaurant,1401 s michigan ave ,"Restaurants, Steakhouses, METADATA",014xx s michigan ave,"1401 S MICHIGAN AVE BSMT, 1ST & 2ND",THE CHICAGO FIREHOUSE RESTAURANT,Outdoor Patio
The Chicago Firehouse Restaurant,1401 s michigan ave ,"Restaurants, Steakhouses, METADATA",014xx s michigan ave,"1401 S MICHIGAN AVE BSMT, 1ST & 2ND",THE CHICAGO FIREHOUSE RESTAURANT,Retail Food Establishment
Potbelly Sandwich Works,303 w madison st ,"Restaurants, Sandwiches, METADATA",003xx w madison st,303 W MADISON ST,POTBELLY SANDWICH WORKS LLC,Retail Food Establishment
