restaurantID,rating_y,average sentiments
5JE9sGqhfgzg-6T6g88UzA,4.0,positive
5JXhbynuQUd5kn7gYRLD2g,4.0,positive
5LENR0IthLzoK9vgDvIxqQ,5.0,positive
5MrrXGI_uvtAIkMNejdjIA,5.0,positive
5QSxzXNfLU-y0MQ-WqViYQ,3.484375,positive
5Rl7APJCrpAlaZ-olTwbmA,5.0,positive
5WU5wPtC9DpgwWqkQurAnw,3.7142857142857135,positive
5Z9BWcCSSkqTYivrB0TT1A,3.9117647058823533,positive
5_j0U9nX2619tA9WBYETgg,5.0,positive
5bnD5bKmEyR6OZc5fSiyjA,4.0,negative
5d5KsQZSjd2k7HGxfPhssA,3.0,positive
5dcuntZ15ZEi72eWYRYnfg,5.0,positive
5ex8kJCkvwSnDk_YBPZiMA,1.181818181818182,negative
5f6Om7sRKAWtsdKw4cyfJg,4.333333333333333,negative
5hOAKe2MXiiW5sUnFdsuNQ,5.0,positive
5k8UrBsK-83mav-XcI66Qg,4.0,positive
5nbw6qmb2DHqv7l_1wJpkw,3.75,positive
5oWImQbhTAEWoD6Nhz01iw,5.0,positive
5pPUUnsVe2u3T3a3MCYQxg,4.0,positive
5q-cLosO7SaGaoTjuF92fA,4.0,positive
5qiXi2kNvXlhUZtcUsYiIQ,4.75,positive
5s9ntZVD45n2CxboZnLbSg,4.4848484848484835,positive
5wxhojVIFtOfTS7TOBrQLA,3.6666666666666665,negative
5zACwnsvV_G9XTSsmWsu8A,5.0,positive
61cDVb0Nx6ov_CLWMjWxzA,3.363636363636364,positive
61q-Efp25H4Spyc64ZWbig,5.0,positive
64OV1hQ46XWDflVOPWhUrQ,5.0,negative
66-K1gf6ToEqd_jo5iUvPA,3.97979797979798,positive
67w81wXIS2aRlfviFPlnZQ,3.0,negative
6B_N8zx6PaAu7zCKhYVVLg,3.5,negative
6DlntlLnsPcosfCoyd6T1Q,3.272727272727273,positive
6HxlGhgqNKN-KcoKuGegvA,5.0,positive
6JWDv4Od4LUr4UvbKuai6A,3.5,positive
6KPItRRz_F8kpDnjHlXAtQ,3.0625,negative
6LpFeZ9DTfEJR8_M_EtSwA,3.0,negative
6NEl8sGhKll5UMfYJgkbHw,5.0,negative
6QRmthF8jBUfSMDtx529SA,3.0,negative
6RObl38FhMoUz3N7EUp3LQ,4.0,positive
6TERAgS-B0qwxDT-X6NTdw,5.0,negative
6V-_fOaVf_JKGWxA4PvDDA,3.1,negative
6VbLHREcaWymbKU5ThXaJw,5.0,negative
6XVrXot96T7oRFPFHb4nNA,2.0,negative
6Xbh41PvEtxzibI_FufiWg,2.5,negative
6YF0rFSv9SgLkLAfI_g_dg,4.333333333333333,positive
6_PHtHLhghGESuxTc47SGg,4.75,positive
6bDKfKmmO0WHygRLPSYhKg,1.0,negative
6cEDVFQWyc-vKUu9BkB9BA,3.5,positive
6cmVmhzc8zRg72TtEX_WPQ,3.0,positive
6gAj-qu9O6iO8_JhLVyclw,1.6666666666666667,negative
6gUP88UsbQIYeiHT4HQGAQ,4.333333333333333,negative
6h5fsLQxZFHVtoaYMvUgjw,2.0,positive
6i-c2rhUQasTgHu0f6mAOw,3.0,positive
6jTzrKHZwk9WbGOd3EepJQ,4.0,positive
6tQydtMOQa810aixX5bjSg,2.5,negative
6uHZp2gEACbXPahtjLdibw,5.0,positive
6v0fFTgZgtlgekrCS5rXaw,5.0,negative
6vGS-LUGKJ7_nftp_GSuaA,4.0,positive
6w_woCxEU6JECjr1AimYqQ,5.0,positive
70WOznUwoZAoPKF9AQjlVg,1.0,negative
70iaqce41qW6C_KU-yb4Jw,3.0,negative
745eW4lDLWSCp61z5e0LjQ,5.0,negative
74GJhQVpEYbBHrZ1hK-kag,3.278688524590164,positive
79PQhyLMS3fha-NMeDKbHg,4.0,positive
7AkG2duYnqJPQA6Rgdl6-w,1.0,negative
7DFfcYoO5B3S9nhgxgOHWQ,3.6666666666666665,positive
7DifqTEQZq2UVMPioKU0fw,4.0,positive
7EPdAZM3oRuEqOdmiKsudA,4.0,positive
7Ees_Pd8ehKBMAtFzjPpyQ,3.7439024390243913,positive
7HkdXqAPiujN4CIQvPcw4Q,3.6176470588235294,positive
7JJc3FxIjASbBCqwdUjeRg,4.0,negative
7JmUWo4BDdUm3BQbp3e5tQ,3.2,positive
7JteYLXKP3QHgZ8pu7gfKQ,5.0,negative
7KX0ZvI7j6S3nNMXelrllw,3.6,positive
7MGIJ-_nVHyD3EIRGGlNog,4.5,negative
7NyqiK-2WV4wZ5N7-b4oqg,1.0,negative
7O5kbUUGD8hTODAFUMwRLw,3.1428571428571432,negative
7OdQ5RCym_Vmzz4RKQ92Hg,4.666666666666667,positive
7PF3v2I9FF_ow_mklrEjoQ,3.6666666666666665,positive
7QFwP0fM7jNA7a6ors-egQ,5.0,positive
7QbiMMoxyre9CMC66Y_h0A,3.0,negative
7T_5XiktNAS_YfIgQmZVhQ,4.6875,positive
7UKAxVZZrr0S_SSJOPpcCg,3.333333333333333,positive
7V14X7-6zgaKXIXPOkGrpw,3.5,positive
7WhnBaYxhFoShht14aiWwA,5.0,positive
7YQFD8xt0Vim3G2lkDVDEw,3.0,negative
7a9BG-eTJahBhyhqKqba5w,3.333333333333333,positive
7acqCZbZfoef4BHqPExHtA,3.7142857142857135,positive
7cHaoUstb6ozaYt6dJYYHw,2.0,negative
7dqsx2p9XepsT-vzrumNUg,4.0,positive
7eQfduUHQS24-e8qm4xG5Q,3.0,negative
7eRnlfZnXvsZ3M2NbddDdg,3.0,positive
7elMK1K1_RAYXIrwqr_7fw,1.0,negative
7f8uMBclWJTeFilXcLpYxQ,3.0,positive
7j0YiQZu-eQBoFgFnCzLDQ,4.666666666666667,negative
7nKa_g-y3VqoyuBP2bHahA,3.0,negative
7oOLIcZ2EW_eendvv5bwuA,2.5,negative
7t91PqHRTp-bIvhUqtfGrw,2.5,negative
7tSYZrg-1hcOEBX7LYZfbw,5.0,positive
7tWRpnfuqXRnG9m6oU2CSw,2.833333333333333,negative
