Year,Business Type,Business Name,address,Has Tobacco License,Has Liquor License,Crime Type,#Crimes,#Arrests,#On Premises
2001,Restaurant,Shark's Fish & Chicken,420 s clark st ,False,False,NARCOTICS,1401,2510,1
2001,Restaurant,Micky's Chicken & Fish,408 s clark st ,False,False,NARCOTICS,1401,2510,1
2001,Restaurant,Chen's Chinese Express,201 n clark st ,False,False,NARCOTICS,1390,2468,1
2001,Restaurant,Toro Sushi Express,201 n clark st ,False,False,NARCOTICS,1390,2468,1
2001,Restaurant,Green Apple,201 n clark st ,False,False,NARCOTICS,1390,2468,1
2001,Restaurant,Jaffa Bakery,201 n clark st ,False,False,NARCOTICS,1390,2468,1
2001,Restaurant,Pizzahut Express,225 s canal st ,False,False,THEFT,1389,285,3
2001,Restaurant,Burrito Beach,210 s canal st ,False,False,THEFT,1389,285,3
2001,Restaurant,Robinson's No 1 Ribs,225 s canal st ,False,False,THEFT,1389,285,3
2001,Restaurant,Nino Paninos,225 s canal st ,False,False,THEFT,1389,285,3
2001,Restaurant,Metro Deli & Cafe,210 s canal st ,True,False,THEFT,1389,285,3
2001,Restaurant,Mixed Greens,223 w lake st ,False,False,NARCOTICS,1373,2423,1
2001,Restaurant,Salad Spinners,223 w lake st ,False,False,NARCOTICS,1373,2423,1
2001,Restaurant,Oriental Express,233 e wacker dr ,False,False,THEFT,1373,139,5
2001,Restaurant,The Metropolitan Club,233 s wacker dr ,False,False,THEFT,1365,290,7
2001,Restaurant,Venice Cafe,233 s wacker dr ,False,False,THEFT,1365,290,7
2001,Restaurant,Currents on the River,200 s wacker dr ,False,False,THEFT,1365,290,7
2001,Restaurant,Around the Corner,325 s franklin st ,False,False,THEFT,1359,272,9
2001,Restaurant,Pockets,329 s franklin st ,False,False,THEFT,1359,272,9
2001,Restaurant,I Dream Of Falafel,331 s franklin st ,False,False,THEFT,1359,272,9
2001,Restaurant,Petra Cafe,331 s franklin st ,False,False,THEFT,1359,272,9
2001,Restaurant,Quiznos,333 s franklin st ,False,False,THEFT,1359,272,9
2001,Restaurant,Marcello's Market & Deli,155 n wacker dr ,False,False,THEFT,1342,185,10
2001,Restaurant,Sushi Sai,123 n wacker dr ,False,False,THEFT,1342,185,10
2001,Restaurant,Specialty's Cafe & Bakery,191 n wacker dr ,False,False,THEFT,1342,185,10
2001,Restaurant,Taza,176 n franklin st ,False,False,BATTERY,1341,391,1
2001,Restaurant,Dagwood's Sandwich Factory,162 n franklin st ,False,False,BATTERY,1341,391,1
2001,Restaurant,Goodwin's,175 n franklin st ,False,False,BATTERY,1341,391,1
